Frame Index,TPose Value,Timestamp,Trunk LatBend R/L,Trunk F/E,Trunk Rot R/L,RShould F/E,LShould F/E,RShould Add/Abd,LShould Add/Abd,RHip F/E,LHip F/E,RHip Add/Abd,LHip Add/Abd,RHip Int/Ext Rot,LHip Int/Ext Rot,LElbow F/E,RElbow F/E,RKnee F/E,LKnee F/E,
74,0,490.321,-0.166689,-1.645562,-0.4961402,8.894702,172.1237,-87.78159,93.00393,0.3274564,-2.740669,0.3274564,0.1735894,0.7565002,0.2946777,0.6685182,1.339837,1.269337,0.4853748,
75,0,490.344,-0.1480375,-1.638769,-0.4489339,9.540008,172.6622,-87.80383,92.97066,0.3006659,-2.732801,0.3006659,0.1412742,0.8254089,0.3489685,0.6795497,1.352195,1.289375,0.4841639,
76,0,490.367,-0.1341704,-1.634105,-0.4039677,9.899006,173.2813,-87.83849,92.94766,0.276953,-2.731512,0.276953,0.1219466,0.8820496,0.3869324,0.7030433,1.36487,1.299353,0.4897892,
77,0,490.394,-0.132704,-1.618341,-0.3784592,9.675404,173.4115,-87.85495,92.93953,0.2733977,-2.717862,0.2733977,0.1203313,0.9342346,0.4135437,0.7192771,1.374585,1.302211,0.4933717,
78,0,490.419,-0.1370561,-1.590409,-0.3599087,9.280846,173.8361,-87.86263,92.96343,0.2646699,-2.689627,0.2646699,0.1101434,0.9855042,0.427948,0.7386047,1.381685,1.300256,0.4981082,
79,0,490.444,-0.1341704,-1.549902,-0.3220336,10.76637,174.8976,-87.90213,92.98752,0.2486604,-2.646932,0.2486604,0.09278741,1.021362,0.429657,0.7543329,1.391705,1.294676,0.5035778,
80,0,490.467,-0.1312212,-1.521485,-0.2873554,12.68915,175.7181,-87.94585,93.00447,0.2349025,-2.60444,0.2349025,0.07912937,1.046478,0.4140625,0.7679582,1.391986,1.28664,0.4973219,
81,0,490.494,-0.1370561,-1.486879,-0.2533378,14.68268,176.4476,-87.9887,93.02284,0.2315465,-2.551596,0.2315465,0.07401875,1.064056,0.3947449,0.7765731,1.393251,1.279166,0.4837596,
82,0,490.519,-0.1480375,-1.441708,-0.2130625,18.24463,177.3388,-88.03825,93.04249,0.2255535,-2.48538,0.2255535,0.07132626,1.067963,0.3749084,0.7820969,1.418859,1.263465,0.4706381,
83,0,490.544,-0.1631294,-1.397458,-0.1855749,21.31631,177.9334,-88.07043,93.07294,0.2238118,-2.401266,0.2238118,0.08156469,1.041321,0.3232727,0.7885751,1.437902,1.244112,0.4401304,
84,0,490.567,-0.174713,-1.36659,-0.1678588,23.03524,178.486,-88.10184,93.09442,0.2255535,-2.333975,0.2255535,0.08392937,1.012207,0.2808533,0.7930291,1.441165,1.218204,0.4149588,
85,0,490.594,-0.1928145,-1.309105,-0.1266688,25.96204,179.6134,-88.12067,93.12081,0.2406627,-2.242714,0.2406627,0.1046783,0.9833984,0.2469482,0.7945082,1.430534,1.193866,0.3891652,
86,0,490.622,-0.2093567,-1.258344,-0.08846933,28.18638,-179.1858,-88.13609,93.15652,0.2517883,-2.14521,0.2517883,0.1203313,0.9590454,0.2253113,0.7940154,1.435042,1.174699,0.3577275,
87,0,490.647,-0.2055842,-1.19124,-0.02797646,31.54796,-177.7493,-88.18413,93.18199,0.2601963,-2.032688,0.2601963,0.1153499,0.946228,0.2101746,0.7917944,1.439535,1.163484,0.3274564,
88,0,490.672,-0.1968319,-1.131769,0,34.1792,-176.5082,-88.22632,93.19367,0.261696,-1.941486,0.261696,0.1101434,0.9309082,0.1995544,0.7925354,1.425189,1.161969,0.315279,
