Frame Index,0x,0y,0z,0w,1x,1y,1z,1w,2x,2y,2z,2w,3x,3y,3z,3w,4x,4y,4z,4w,5x,5y,5z,5w,6x,6y,6z,6w,7x,7y,7z,7w,8x,8y,8z,8w,9x,9y,9z,9w,
101,0,0,0,0,0.197998,-1.433472,-2.102905,0,-0.3048096,0.1038818,1.801758,0,0.4429932,0.1824951,1.748657,0,-0.3209229,2.975708,2.620117,0,-0.5424805,-2.93103,1.575317,0,-0.3118896,1.627319,0.2836914,0,-0.1264648,1.537109,0.4106445,0,-0.2438965,1.696167,3.012329,0,-0.03308105,1.76416,-0.1523438,0,
102,0,0,0,0,0.1988525,-1.43335,-2.103027,0,-0.3037109,0.1025391,1.804565,0,0.4423828,0.1828613,1.748413,0,-0.322998,2.975342,2.620361,0,-0.5467529,-2.931396,1.574829,0,-0.3121338,1.627319,0.2835693,0,-0.1276855,1.536133,0.4140625,0,-0.2438965,1.696167,3.012329,0,-0.0333252,1.763184,-0.1524658,0,
103,0,0,0,0,0.1998291,-1.432861,-2.102661,0,-0.3012695,0.1011963,1.807495,0,0.4421387,0.1829834,1.748047,0,-0.3249512,2.975342,2.618896,0,-0.5467529,-2.931396,1.574829,0,-0.3118896,1.626587,0.2836914,0,-0.1282959,1.536133,0.4151611,0,-0.2442627,1.695557,3.015503,0,-0.03515625,1.761841,-0.1442871,0,
104,0,0,0,0,0.2015381,-1.431885,-2.102295,0,-0.3017578,0.09875488,1.812988,0,0.4429932,0.1833496,1.745483,0,-0.3249512,2.975342,2.618896,0,-0.5467529,-2.931396,1.574829,0,-0.3118896,1.625732,0.2841797,0,-0.1282959,1.535522,0.416748,0,-0.244873,1.695435,3.018433,0,-0.03552246,1.761597,-0.1405029,0,
105,0,0,0,0,0.2025146,-1.431885,-2.102539,0,-0.3071289,0.09753418,1.816284,0,0.4443359,0.1849365,1.730591,0,-0.3249512,2.975342,2.618896,0,-0.5471191,-2.931519,1.574707,0,-0.3115234,1.625244,0.2843018,0,-0.1282959,1.535645,0.4197998,0,-0.2453613,1.695923,3.020142,0,-0.03515625,1.762695,-0.1295166,0,
106,0,0,0,0,0.2039795,-1.431519,-2.100464,0,-0.3088379,0.0970459,1.814331,0,0.4445801,0.185791,1.72937,0,-0.3254395,2.975342,2.61792,0,-0.5471191,-2.931519,1.574707,0,-0.3118896,1.624146,0.2880859,0,-0.1286621,1.535522,0.4241943,0,-0.2449951,1.696411,3.021851,0,-0.03491211,1.762817,-0.1281738,0,
107,0,0,0,0,0.2039795,-1.430786,-2.099121,0,-0.3082275,0.09655762,1.815308,0,0.4439697,0.1865234,1.722168,0,-0.3261719,2.975342,2.618164,0,-0.5505371,-2.931519,1.574097,0,-0.3118896,1.624023,0.2905273,0,-0.1286621,1.535522,0.4241943,0,-0.2449951,1.696777,3.022949,0,-0.03491211,1.763062,-0.1274414,0,
108,0,0,0,0,0.2037354,-1.429932,-2.098511,0,-0.3066406,0.09570313,1.814941,0,0.4394531,0.1854248,1.714355,0,-0.3270264,2.975342,2.617065,0,-0.5515137,-2.931519,1.574219,0,-0.3122559,1.623779,0.2930908,0,-0.1289063,1.535522,0.4268799,0,-0.2449951,1.696777,3.023438,0,-0.03479004,1.763306,-0.1274414,0,
109,0,0,0,0,0.2034912,-1.429199,-2.098022,0,-0.305542,0.09509277,1.810913,0,0.4383545,0.1827393,1.710693,0,-0.3294678,2.974731,2.616943,0,-0.5515137,-2.931519,1.574219,0,-0.3131104,1.624756,0.2969971,0,-0.1293945,1.535889,0.4284668,0,-0.2449951,1.697754,3.023071,0,-0.03466797,1.763672,-0.1281738,0,
110,0,0,0,0,0.2036133,-1.428833,-2.0979,0,-0.3046875,0.09448242,1.812378,0,0.4412842,0.1810303,1.706299,0,-0.3300781,2.974854,2.616455,0,-0.5552979,-2.934082,1.579346,0,-0.3134766,1.625,0.296875,0,-0.1298828,1.535767,0.4287109,0,-0.244873,1.698486,3.021851,0,-0.0345459,1.763916,-0.1298828,0,
111,0,0,0,0,0.2036133,-1.428589,-2.097656,0,-0.3050537,0.09411621,1.810913,0,0.4411621,0.1795654,1.702026,0,-0.3303223,2.974609,2.615601,0,-0.5556641,-2.934326,1.575806,0,-0.3134766,1.625,0.296875,0,-0.130249,1.535767,0.4287109,0,-0.2449951,1.699219,3.019531,0,-0.03466797,1.764038,-0.1323242,0,
112,0,0,0,0,0.2036133,-1.428589,-2.097656,0,-0.3048096,0.09399414,1.812988,0,0.4411621,0.1795654,1.702026,0,-0.3303223,2.974609,2.615601,0,-0.5548096,-2.934814,1.576538,0,-0.3138428,1.625366,0.2967529,0,-0.1314697,1.536255,0.4273682,0,-0.2449951,1.699707,3.016602,0,-0.03479004,1.763916,-0.1375732,0,
113,0,0,0,0,0.2034912,-1.428223,-2.097534,0,-0.302002,0.09326172,1.813843,0,0.4433594,0.1791992,1.702271,0,-0.3310547,2.973999,2.61499,0,-0.5541992,-2.935425,1.573975,0,-0.31604,1.626953,0.2938232,0,-0.1314697,1.536255,0.4273682,0,-0.2452393,1.699707,3.013794,0,-0.03515625,1.76355,-0.1433105,0,
