Frame Index,TPose Value,Timestamp,Trunk LatBend R/L,Trunk F/E,Trunk Rot R/L,RShould F/E,LShould F/E,RShould Add/Abd,LShould Add/Abd,RHip F/E,LHip F/E,RHip Add/Abd,LHip Add/Abd,RHip Int/Ext Rot,LHip Int/Ext Rot,LElbow F/E,RElbow F/E,RKnee F/E,LKnee F/E
17039,0,1963.962,2.976048,12.63676,1.882632,38.10697,13.41245,-13.2559,14.15453,-32.53165,17.82984,32.53165,5.646877,137.5235,94.5986,23.8848,0.272681,54.95132,16.94175
17040,0,1963.987,2.620549,12.43673,1.583256,38.06444,13.31008,-13.45618,14.49424,-33.56005,17.01685,33.56005,5.602277,136.9223,94.0784,24.42671,0.8379012,56.67868,16.06762
17041,0,1964.011,2.264513,12.25795,1.19812,38.01285,13.31294,-13.67411,15.00955,-34.29249,16.11924,34.29249,5.58195,136.4859,93.57108,25.04974,1.993214,57.57979,15.12014
17042,0,1964.033,1.98692,12.13499,0.8877931,38.06079,13.3601,-13.75711,15.39044,-35.05819,15.37189,35.05819,5.662267,135.9717,93.10311,25.48737,2.883508,58.05435,14.23714
17043,0,1964.058,1.766911,12.06379,0.6345818,38.11948,14.37156,-13.77813,16.62083,-35.84812,14.74592,35.84812,5.746684,135.3858,92.61394,25.55795,3.443498,58.18958,13.40217
17044,0,1964.083,1.542562,12.04606,0.3090104,38.16391,15.21691,-13.75663,17.51445,-36.72182,14.05252,36.72182,5.796368,134.5608,91.98481,25.65743,3.752803,57.58776,12.52361
17045,0,1964.108,1.381827,12.03922,0.08392937,38.16853,16.10887,-13.64584,17.99676,-37.54318,13.49039,37.54318,5.87363,133.7687,91.42899,25.149,3.920815,56.64,11.79495
17046,0,1964.137,1.278401,12.05068,0.05934703,38.09901,16.80058,-13.35325,18.31685,-38.11902,12.99582,38.11902,5.968115,132.7273,90.93291,24.80338,3.881612,55.07249,11.14661
17047,0,1964.162,1.209337,12.08157,0.1532334,38.06707,17.3632,-13.10534,18.48364,-38.42516,12.57407,38.42516,6.229825,131.8367,90.42223,24.50095,3.721575,52.99823,10.70092
17048,0,1964.187,1.15809,12.17885,0.3232465,38.11393,17.91777,-13.03831,18.56536,-38.4305,12.32157,38.4305,6.588088,131.0695,89.94601,24.29175,3.633403,49.53526,10.46095
17049,0,1964.211,1.132806,12.28663,0.4284154,38.16117,18.39711,-13.02653,18.60311,-38.62173,12.24361,38.62173,6.983143,130.54,89.44598,24.14652,3.782634,46.23048,10.35072
17050,0,1964.237,1.13125,12.40156,0.4714689,38.19072,18.82143,-12.92189,18.60851,-37.93545,12.20224,37.93545,7.378047,129.8282,88.89635,24.04543,3.913365,41.89297,10.27443
17051,0,1964.262,1.143979,12.51919,0.4635163,38.23188,19.1992,-12.85807,18.59659,-37.32555,12.22195,37.32555,7.777585,129.3272,88.34125,23.99343,4.078424,37.74076,10.32613
17052,0,1964.287,1.177859,12.63627,0.4010509,38.25612,19.53948,-12.82149,18.56697,-36.69943,12.25662,36.69943,8.367739,128.8913,87.67835,23.96847,4.39231,33.03375,10.59158
17053,0,1964.311,1.217561,12.77577,0.3835945,38.09256,19.89852,-12.50467,18.51006,-36.347,12.1863,36.347,8.905386,128.5905,87.06009,23.95064,4.479734,29.07529,10.84617
17054,0,1964.336,1.283442,12.86986,0.2065338,37.90267,20.14991,-12.14189,18.46851,-35.92117,12.05691,35.92117,9.388645,128.1762,86.52139,24.10801,4.403933,25.76728,11.55918
17055,0,1964.364,1.348572,12.9533,0.01978234,37.78363,20.59533,-11.92425,18.20588,-35.12544,11.66689,35.12544,10.01859,128.1692,86.04928,23.62465,4.401442,23.06183,12.36985
17056,0,1964.387,1.417065,13.03793,0.14537,37.67633,21.28843,-11.59015,17.7848,-34.30568,11.22755,34.30568,10.59199,128.5837,85.6673,22.46168,4.030217,20.70811,12.83838
17057,0,1964.411,1.494886,13.14632,0.3121605,37.60695,22.04379,-11.23402,17.1779,-33.76546,10.74626,33.76546,11.15676,128.8665,85.35856,21.075,3.377422,18.96824,13.28522
17058,0,1964.437,1.700193,13.4148,0.5267473,37.58116,22.9571,-10.96914,16.49842,-33.60783,10.3456,33.60783,11.7388,129.3977,85.14581,19.66449,2.964845,18.16326,13.79893
17059,0,1964.462,2.028543,13.68042,0.8987461,37.45112,23.76067,-10.7386,16.03426,-33.60845,10.16005,33.60845,12.22719,129.3424,85.0359,18.61542,2.74224,18.69053,14.49637
17060,0,1964.487,2.485537,13.94244,1.476843,37.17137,24.32162,-10.38578,15.61151,-33.1957,9.947341,33.1957,12.78006,129.7541,85.27189,17.88595,2.246725,20.02328,15.18414
17061,0,1964.511,2.995129,14.21504,2.265463,36.7958,24.70797,-9.680787,15.30282,-32.97623,10.19401,32.97623,13.23579,130.0442,85.868,17.44749,1.350022,21.70218,16.1858
17062,0,1964.537,3.523423,14.83017,3.403638,36.70615,25.24779,-8.805111,15.26812,-30.31645,10.97453,30.31645,13.79674,130.9423,86.62193,17.10339,0.4706381,21.70144,17.8055
17063,0,1964.562,3.945906,15.53562,4.336754,36.45118,25.81574,-8.108885,15.36069,-27.87659,13.42394,27.87659,13.98825,131.5639,88.23289,16.86256,0.2139789,21.56293,20.91022
17064,0,1964.587,4.309708,16.24055,5.062796,36.33976,26.3165,-7.752335,15.50228,-25.6982,16.17287,25.6982,13.92828,132.2099,90.78996,16.69408,0.5274898,21.31756,24.62457
